name,primary_type,latitude,longitude,address,business_status,types,price_level,rating,reviews,user_ratings_total,operational_hours,phone_number,place_id,website_url,gmaps_url,origin_place
Cahaya Berkat Automotive,store,-6.3409154999999995,106.88736759999999,"Jl. Raya Klp. Dua Wetan No.8, RT.6/RW.8, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730, Indonesia",OPERATIONAL,"['car_repair', 'store', 'point_of_interest', 'establishment']",,5.0,,321,"[{'open': {'day': 0, 'hour': 8, 'minute': 30}, 'close': {'day': 0, 'hour': 17, 'minute': 30}}, {'open': {'day': 2, 'hour': 8, 'minute': 30}, 'close': {'day': 2, 'hour': 17, 'minute': 30}}, {'open': {'day': 3, 'hour': 8, 'minute': 30}, 'close': {'day': 3, 'hour': 17, 'minute': 30}}, {'open': {'day': 4, 'hour': 8, 'minute': 30}, 'close': {'day': 4, 'hour': 17, 'minute': 30}}, {'open': {'day': 5, 'hour': 8, 'minute': 30}, 'close': {'day': 5, 'hour': 17, 'minute': 30}}, {'open': {'day': 6, 'hour': 8, 'minute': 30}, 'close': {'day': 6, 'hour': 17, 'minute': 30}}]",0812-2472-0600,ChIJ9cNjjODsaS4R1pB0BBpsp74,https://instagram.com/cahayaberkat.automotive?utm_medium=copy_link,https://maps.google.com/?cid=13738068047316685014,JAKARTA TIMUR - 5254864071202701311
Aki mobil solusi,car_repair,-6.3173296,106.8906113,"Gg. Saleh No.69, RT.4/RW.3, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820, Indonesia",OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']",,,,,"[{'open': {'day': 0, 'hour': 0, 'minute': 0}}]",,ChIJWQ_vX_7taS4RoSJ4HLNB2m4,,https://maps.google.com/?cid=7987769126627582625,JAKARTA TIMUR - 5254864071169146879
Bengkel Solo Jaya Motor,car_repair,-6.3287619999999993,106.88919600000001,"Jl. Bina Marga No.3, RT.6/RW.2, Cipayung, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840, Indonesia",OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']",,,,,,(021) 97410846,ChIJSfdVoiLtaS4R5I4TFzqX7Xg,,https://maps.google.com/?cid=8713787129782832868,JAKARTA TIMUR - 5254864071169146879
Bengkel suwito,car_repair,-6.3363577,106.88741449999999,"Jl. Raya Klp. Dua Wetan No.18, RT.7/RW.4, Klp. Dua Wetan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730, Indonesia",OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']",,,,,,,ChIJuRVIXgDtaS4RiAVtWk-Ce48,,https://maps.google.com/?cid=10339000646890227080,JAKARTA TIMUR - 5254864071169146879
BENGKEL MOTOR PENDUYA,car_repair,-6.3168276,106.8846311,"Jl. Bungur No.51, RW.6, Rambutan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13830, Indonesia",OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']",,,,,,,ChIJ6wQYOmvtaS4RfyoKDOEVRVg,,https://maps.google.com/?cid=6360514105044511359,JAKARTA TIMUR - 5254864071169146879
Bengkel amanah auto service ceger,car_repair,-6.3217381,106.891221,"MVHR+8F5, Jl. Bina Marga, RT.2/RW.4, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820, Indonesia",OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']",,,,,"[{'open': {'day': 1, 'hour': 8, 'minute': 0}, 'close': {'day': 1, 'hour': 18, 'minute': 0}}, {'open': {'day': 2, 'hour': 8, 'minute': 0}, 'close': {'day': 2, 'hour': 18, 'minute': 0}}, {'open': {'day': 3, 'hour': 8, 'minute': 0}, 'close': {'day': 3, 'hour': 18, 'minute': 0}}, {'open': {'day': 4, 'hour': 8, 'minute': 0}, 'close': {'day': 4, 'hour': 18, 'minute': 0}}, {'open': {'day': 5, 'hour': 8, 'minute': 0}, 'close': {'day': 5, 'hour': 18, 'minute': 0}}, {'open': {'day': 6, 'hour': 8, 'minute': 0}, 'close': {'day': 6, 'hour': 18, 'minute': 0}}]",,ChIJm6YTMwDtaS4RK6wpp4qUVYk,,https://maps.google.com/?cid=9895979079447456811,JAKARTA TIMUR - 5254864071169146879
Deden Bengkel Motor Bajaj Pulsar,car_repair,-6.333539,106.8788715,"Jl. Manunggal III No.13N 4, RT.7/RW.4, Klp. Dua Wetan, Ciracas Rambutan, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13730, Indonesia",OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']",,,,,"[{'open': {'day': 0, 'hour': 0, 'minute': 0}}]",0853-1468-9919,ChIJUW3cLADtaS4RLbrWOUd2NgM,,https://maps.google.com/?cid=231502479141288493,JAKARTA TIMUR - 5254864071169146879
Bengkel mobil,car_repair,-6.3257976,106.8966325,"Jl. Mandor Hasan gg. Albarkah No.96, RT.10/RW.1, Bambu Apus, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13860, Indonesia",OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']",,,,,"[{'open': {'day': 1, 'hour': 8, 'minute': 0}, 'close': {'day': 1, 'hour': 17, 'minute': 0}}, {'open': {'day': 2, 'hour': 8, 'minute': 0}, 'close': {'day': 2, 'hour': 17, 'minute': 0}}, {'open': {'day': 3, 'hour': 8, 'minute': 0}, 'close': {'day': 3, 'hour': 17, 'minute': 0}}, {'open': {'day': 4, 'hour': 8, 'minute': 0}, 'close': {'day': 4, 'hour': 17, 'minute': 0}}, {'open': {'day': 5, 'hour': 8, 'minute': 0}, 'close': {'day': 5, 'hour': 17, 'minute': 0}}, {'open': {'day': 6, 'hour': 8, 'minute': 0}, 'close': {'day': 6, 'hour': 17, 'minute': 0}}]",0831-0495-3102,ChIJV6o5m8LtaS4REV6mQb418t0,,https://maps.google.com/?cid=15992904318007533073,JAKARTA TIMUR - 5254864071169146879
Faza Bengkel,car_repair,-6.3572048999999993,106.87973,"Cibubur, Ciracas, East Jakarta City, Jakarta, Indonesia",OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']",,,,,,,ChIJmz4zHu3saS4RMfDCC1Uno24,,https://maps.google.com/?cid=7972259011598938161,JAKARTA TIMUR - 5254864071202701311
Larisma Motor,car_repair,-6.316857,106.884612,"Gg. Bungur IX, RT.009/RW.07, Kampung Rambutan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13830, Indonesia",OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']",,3.0,,2,"[{'open': {'day': 0, 'hour': 6, 'minute': 0}, 'close': {'day': 0, 'hour': 23, 'minute': 0}}, {'open': {'day': 1, 'hour': 6, 'minute': 0}, 'close': {'day': 1, 'hour': 23, 'minute': 0}}, {'open': {'day': 2, 'hour': 6, 'minute': 0}, 'close': {'day': 2, 'hour': 23, 'minute': 0}}, {'open': {'day': 3, 'hour': 6, 'minute': 0}, 'close': {'day': 3, 'hour': 23, 'minute': 0}}, {'open': {'day': 4, 'hour': 6, 'minute': 0}, 'close': {'day': 4, 'hour': 23, 'minute': 0}}, {'open': {'day': 5, 'hour': 6, 'minute': 0}, 'close': {'day': 5, 'hour': 23, 'minute': 0}}, {'open': {'day': 6, 'hour': 6, 'minute': 0}, 'close': {'day': 6, 'hour': 23, 'minute': 0}}]",0812-8576-9072,ChIJ7YYMDgrtaS4RUxZ4m5XnaLk,,https://maps.google.com/?cid=13360182924339058259,JAKARTA TIMUR - 5254864071169146879
Servis ECU Mobil,car_repair,-6.3444256,106.8907877,"Gg. Kramat No.23, RT.4/RW.06, Munjul, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840, Indonesia",OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']",,3.5,,8,"[{'open': {'day': 0, 'hour': 0, 'minute': 0}}]",0838-3627-5466,ChIJp20yBDztaS4RrcoO0hcS1Us,,https://maps.google.com/?cid=5464293616401697453,JAKARTA TIMUR - 5254864071202701311
